split,filepath,label,shape,color_name,color_rgb,is_training_shortcut_aligned,object_size,center_x,center_y,rotation_degrees
train_shortcut,train_shortcut/circle/train_shortcut_circle_00000_blue.png,0,circle,blue,"(53, 100, 232)",1,22,14.24,23.948,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00001_blue.png,0,circle,blue,"(45, 101, 206)",1,28,23.47,24.466,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00002_blue.png,0,circle,blue,"(39, 99, 209)",1,26,22.644,20.066,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00003_blue.png,0,circle,blue,"(44, 81, 206)",1,18,17.969,23.92,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00004_blue.png,0,circle,blue,"(63, 90, 230)",1,19,30.748,24.164,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00005_blue.png,0,circle,blue,"(52, 89, 234)",1,26,31.789,17.735,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00006_blue.png,0,circle,blue,"(29, 99, 222)",1,27,24.012,18.922,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00007_blue.png,0,circle,blue,"(63, 73, 219)",1,27,17.287,40.201,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00008_blue.png,0,circle,blue,"(57, 105, 230)",1,22,19.897,35.243,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00009_blue.png,0,circle,blue,"(58, 77, 232)",1,23,28.701,25.558,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00010_blue.png,0,circle,blue,"(33, 82, 223)",1,24,38.972,24.376,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00011_blue.png,0,circle,blue,"(52, 107, 204)",1,25,17.994,23.582,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00012_blue.png,0,circle,blue,"(34, 97, 234)",1,18,38.622,33.789,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00013_blue.png,0,circle,blue,"(53, 75, 214)",1,26,27.3,40.719,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00014_blue.png,0,circle,blue,"(55, 75, 215)",1,22,33.87,48.252,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00015_blue.png,0,circle,blue,"(55, 103, 209)",1,18,51.872,36.573,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00016_blue.png,0,circle,blue,"(42, 82, 221)",1,26,15.465,28.872,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00017_blue.png,0,circle,blue,"(41, 79, 231)",1,19,37.908,18.159,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00018_blue.png,0,circle,blue,"(45, 104, 219)",1,24,44.05,49.289,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00019_blue.png,0,circle,blue,"(42, 101, 237)",1,20,27.343,48.875,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00020_blue.png,0,circle,blue,"(59, 80, 206)",1,22,42.362,45.468,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00021_blue.png,0,circle,blue,"(48, 104, 219)",1,18,22.879,23.539,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00022_blue.png,0,circle,blue,"(58, 81, 230)",1,26,31.468,26.303,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00023_blue.png,0,circle,blue,"(61, 96, 231)",1,23,45.306,49.308,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00024_blue.png,0,circle,blue,"(42, 108, 226)",1,21,45.528,28.609,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00025_blue.png,0,circle,blue,"(47, 102, 226)",1,24,49.583,42.526,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00026_blue.png,0,circle,blue,"(36, 103, 204)",1,20,32.092,35.607,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00027_blue.png,0,circle,blue,"(33, 100, 208)",1,26,45.955,15.522,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00028_blue.png,0,circle,blue,"(36, 98, 211)",1,19,30.78,50.768,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00029_blue.png,0,circle,blue,"(48, 97, 207)",1,23,44.684,44.936,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00030_blue.png,0,circle,blue,"(51, 92, 233)",1,26,16.221,17.326,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00031_blue.png,0,circle,blue,"(45, 86, 207)",1,24,49.22,41.373,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00032_blue.png,0,circle,blue,"(33, 100, 212)",1,29,25.984,17.868,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00033_blue.png,0,circle,blue,"(47, 75, 220)",1,23,27.494,19.241,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00034_blue.png,0,circle,blue,"(60, 98, 238)",1,28,41.361,21.439,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00035_blue.png,0,circle,blue,"(32, 96, 217)",1,25,46.036,19.866,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00036_blue.png,0,circle,blue,"(56, 88, 231)",1,22,38.34,47.159,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00037_blue.png,0,circle,blue,"(56, 90, 236)",1,20,14.954,49.809,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00038_blue.png,0,circle,blue,"(46, 99, 218)",1,25,43.74,21.773,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00039_blue.png,0,circle,blue,"(51, 102, 208)",1,21,27.492,26.64,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00040_blue.png,0,circle,blue,"(45, 90, 203)",1,28,28.666,16.259,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00041_blue.png,0,circle,blue,"(30, 103, 220)",1,30,40.966,35.212,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00042_blue.png,0,circle,blue,"(49, 86, 214)",1,27,24.02,40.178,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00043_blue.png,0,circle,blue,"(35, 78, 204)",1,22,42.967,14.268,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00044_blue.png,0,circle,blue,"(50, 80, 207)",1,22,25.415,28.789,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00045_blue.png,0,circle,blue,"(39, 80, 236)",1,23,33.111,46.886,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00046_blue.png,0,circle,blue,"(37, 88, 232)",1,30,25.854,43.112,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00047_blue.png,0,circle,blue,"(34, 101, 206)",1,20,42.166,21.025,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00048_blue.png,0,circle,blue,"(52, 107, 225)",1,19,43.627,12.557,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00049_blue.png,0,circle,blue,"(61, 79, 231)",1,23,38.222,38.204,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00050_blue.png,0,circle,blue,"(51, 95, 208)",1,28,23.482,16.801,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00051_red.png,0,circle,red,"(237, 47, 41)",0,28,18.023,42.363,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00052_blue.png,0,circle,blue,"(46, 98, 209)",1,20,13.814,13.488,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00053_blue.png,0,circle,blue,"(58, 79, 208)",1,21,46.716,18.155,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00054_blue.png,0,circle,blue,"(56, 95, 236)",1,24,35.144,40.158,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00055_blue.png,0,circle,blue,"(53, 78, 233)",1,27,29.06,46.449,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00056_blue.png,0,circle,blue,"(29, 95, 215)",1,25,30.12,23.028,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00057_blue.png,0,circle,blue,"(50, 78, 225)",1,26,45.658,36.924,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00058_blue.png,0,circle,blue,"(30, 97, 219)",1,21,49.792,49.062,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00059_blue.png,0,circle,blue,"(56, 77, 215)",1,28,36.464,47.075,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00060_blue.png,0,circle,blue,"(30, 93, 217)",1,20,43.479,20.208,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00061_blue.png,0,circle,blue,"(62, 85, 215)",1,21,25.485,18.607,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00062_blue.png,0,circle,blue,"(27, 89, 211)",1,20,33.609,43.941,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00063_blue.png,0,circle,blue,"(34, 73, 210)",1,18,26.046,44.114,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00064_blue.png,0,circle,blue,"(47, 73, 213)",1,22,14.991,41.185,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00065_blue.png,0,circle,blue,"(60, 79, 206)",1,25,30.241,27.309,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00066_blue.png,0,circle,blue,"(33, 100, 234)",1,21,48.926,14.648,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00067_blue.png,0,circle,blue,"(60, 91, 231)",1,28,46.849,17.946,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00068_blue.png,0,circle,blue,"(57, 97, 229)",1,28,19.455,38.797,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00069_blue.png,0,circle,blue,"(55, 76, 207)",1,23,35.899,16.365,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00070_blue.png,0,circle,blue,"(44, 107, 222)",1,24,49.807,33.1,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00071_blue.png,0,circle,blue,"(56, 104, 229)",1,19,43.724,16.577,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00072_blue.png,0,circle,blue,"(62, 85, 229)",1,25,45.195,29.07,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00073_blue.png,0,circle,blue,"(56, 97, 228)",1,29,19.853,29.803,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00074_blue.png,0,circle,blue,"(43, 95, 211)",1,28,45.536,18.148,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00075_blue.png,0,circle,blue,"(32, 77, 229)",1,19,41.784,26.906,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00076_blue.png,0,circle,blue,"(35, 107, 205)",1,27,46.612,33.974,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00077_blue.png,0,circle,blue,"(34, 98, 224)",1,28,46.116,29.534,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00078_blue.png,0,circle,blue,"(30, 90, 221)",1,23,17.73,32.267,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00079_blue.png,0,circle,blue,"(36, 102, 216)",1,19,26.005,34.251,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00080_blue.png,0,circle,blue,"(34, 89, 238)",1,21,43.674,45.116,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00081_blue.png,0,circle,blue,"(62, 73, 219)",1,18,18.577,40.513,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00082_blue.png,0,circle,blue,"(46, 93, 224)",1,18,18.619,17.017,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00083_blue.png,0,circle,blue,"(52, 76, 211)",1,29,35.995,17.92,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00084_blue.png,0,circle,blue,"(60, 85, 226)",1,24,30.331,19.667,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00085_blue.png,0,circle,blue,"(46, 92, 238)",1,27,18.719,17.683,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00086_blue.png,0,circle,blue,"(37, 75, 207)",1,22,29.838,29.113,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00087_blue.png,0,circle,blue,"(55, 98, 219)",1,21,41.688,17.325,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00088_blue.png,0,circle,blue,"(54, 79, 220)",1,28,37.712,31.572,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00089_blue.png,0,circle,blue,"(46, 74, 216)",1,24,49.44,15.972,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00090_blue.png,0,circle,blue,"(40, 91, 215)",1,30,21.117,24.666,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00091_blue.png,0,circle,blue,"(47, 79, 202)",1,25,40.398,20.974,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00092_blue.png,0,circle,blue,"(51, 106, 216)",1,26,33.997,37.714,0.0
train_shortcut,train_shortcut/circle/train_shortcut_circle_00093_blue.png,0,circle,blue,"(49, 76, 227)",1,29,18.269,17.562,0.0
